Sample	Thickness	SIO2	TIO2	AL2O3	FE2O3	FEO	MNO	MGO	CAO	NA2O	K2O	P2O5	H2O	CO2	Density
SR09MI02	48.37448575	48.4899	0.5822	16.29035	0	8.90355	0.16445	8.80575	9.4837	2.04435	0.27155	0.05705	4.096800059	0.102222687	2654.80628
SR09MI03	72.66666667	46.7243	0.644466667	18.17253333	0	5.3865	0.1053	4.1632	9.126033333	0.025066667	12.24213333	0.048666667	1.705114234	0.03616943	2628.400105
SR10MI01A	39.81961877	49.7203	0.670733333	14.86466667	0	9.207366667	0.167466667	10.6002	8.033	2.412933333	0.372066667	0.0535	3.948801089	0.082522737	2665.12774
SR10MI01B	41.71731283	51.04206667	0.75	14.56093333	0	8.970866667	0.169233333	10.27253333	7.503433333	2.631433333	0.4443	0.071433333	3.618522373	0.039822536	2656.64243
SR10MI02	60.89141964	47.599525	0.549675	15.60785	0	9.92145	0.17655	10.931	9.060375	2.0149	0.2607	0.035625	3.637668131	0.05106964	2708.488112
SR10MI03	73.41952231	47.04333333	0.54	15.56666667	0	9.693333333	0.173333333	10.96333333	9.033333333	1.876666667	0.253333333	0.043333333	3.386666841	0.053953579	2715.04326
SR10MI04	51.22162223	48.07023333	0.587733333	15.50643333	0	9.712633333	0.176433333	10.55516667	9.1518	2.078633333	0.2507	0.051833333	3.824800355	0.056958173	2694.347229
SR10MI05	64.23488093	46.9862	0.599133333	15.47746667	0	10.21346667	0.1853	10.7524	9.024433333	1.983833333	0.247066667	0.043733333	3.743594347	0.054518771	2712.075692
SR10MI06	57.37494441	46.6899	0.438233333	17.80843333	0	8.890933333	0.1554	10.4146	10.0345	1.795433333	0.1984	0.035366667	3.343779053	0.034832276	2707.081621
SR10MI07	38.7902965	49.02905	0.778766667	14.89516667	0	10.07208333	0.184933333	9.8103	8.222533333	2.4396	0.3517	0.0657	3.299259292	0.072496906	2696.75914
SR10MI08	41.91817572	50.0546	0.727633333	15.44166667	0	9.222566667	0.173833333	8.863466667	8.8732	2.352666667	0.369366667	0.058966667	3.233301108	0.054237031	2673.957651
SR10MI09	48.58114688	50.039925	0.803175	14.6034	0	9.39495	0.172275	9.922775	8.011275	2.4047	0.461475	0.086975	3.667464452	0.051162939	2668.685396
SR10MI10	35.12037623	47.57525	0.60485	16.5294	0	10.45665	0.19405	8.2469	9.9535	2.1691	0.2554	0.0522	2.699329964	0.056352076	2726.180572
SR10MI11	68.65195168	46.6455	0.5817	14.95	0	12.33656667	0.241266667	10.0377	8.953433333	1.965433333	0.227833333	0.055333333	3.676267283	0.045699612	2742.50382
SR11MI01	47.54261021	47.85333333	0.5494	15.23616667	0	10.3058	0.188866667	10.39813333	9.0586	2.0066	0.228566667	0.029366667	3.87685443	0.042033276	2700.23968
SR11MI02	58.40025974	48.903125	0.565275	14.81545	0	10.243625	0.189375	10.151825	9.0821	2.234075	0.237275	0.06585	3.031894875	0.035470731	2716.781578
SR11MI03	49.37843971	48.44124	0.74548	14.82866	0	10.0472	0.19372	10.39276	8.91404	2.13112	0.3349	0.06154	3.618187477	0.056041802	2702.197723
SR11MI04	53.66666667	46.65256667	0.528633333	15.03113333	0	10.13016667	0.192266667	9.366466667	9.4424	1.980033333	0.2462	0.071766667	2.508417066	0.066160572	2738.659379
SR11MI05	50.38379907	46.793425	0.5344	16.28995	0	9.896875	0.185425	9.933	9.448675	2.04535	0.239975	0.043175	3.698174088	0.092116071	2703.674557
SR11MI06	43.70897954	48.0921	0.558	15.5812	0	10.18276667	0.192433333	9.831433333	9.2287	1.9909	0.262666667	0.054366667	3.733704609	0.048101087	2696.585502
SR11MI07	56.6448847	47.42666667	0.743333333	15.48	0	9.99	0.186666667	10.35333333	8.546666667	2.316666667	0.363333333	0.07	3.240103857	0.046836307	2715.060188
SR11MI08	46.4	50.906025	1.01925	14.751475	0	9.66585	0.1854	9.1166	8.27565	2.4873	0.444725	0.13635	2.56719525	0.061509327	2697.513064
SR11MI09	50.47121816	47.01333333	0.526666667	15.42333333	0	10.00666667	0.183333333	11.4	9.193333333	1.9	0.223333333	0.043333333	4.056802762	0.125499291	2706.658439
SR11MI10A	61.44624088	49.29875	0.6998	15.2422	0	9.785875	0.186525	9.883525	8.303325	2.489025	0.379825	0.0634	2.526028726	0.037146185	2714.184561
SR11MI10B	51.66000827	46.5029	0.494233333	16.00733333	0	10.76496667	0.201	10.45953333	9.309466667	2.099666667	0.2278	0.0271	3.164095811	0.106970958	2740.162159
SR3-4MI02	50.11791707	48.34916	0.64424	16.778158	0	8.594894	0.151858	7.627042	9.791742	2.45786	0.287446	0.200266	4.230822374	0.073880672	2639.460302
SR3-4MI03	51.66666667	48.895725	0.6188525	16.74881	0	8.49321	0.1629175	7.8346225	9.57382	2.4415275	0.2718975	0.1942175	3.76687784	0.050430556	2647.610091
CL05MI01	99.33333333	47.83082064	0.893502785	18.11240882	0	12.67173121	0.220598373	6.245057206	8.516424943	2.828022129	0.314107957	0.107432011	5.694125746	0.067086645	2645.328484
CL05MI02	71.33333333	46.49831321	1.021297355	18.59148169	0	12.42528913	0.211898153	7.094258152	8.597816393	2.647858068	0.27972374	0.102391009	3.160872047	0.073808788	2732.24938
CL05MI05	59.66666667	47.63108727	1.157405718	17.83901046	0	11.94789655	0.216438702	7.05073233	7.972471261	2.870316376	0.297683489	0.119222092	3.111651317	0.101253519	2715.25778
CL05MI06	41.66666667	48.73343577	0.892363635	19.80174607	0	6.546577735	0.111741582	5.205898699	13.02391982	2.356822232	0.343594214	0.136389243	3.83283042	0.079559724	2626.570526
CL05MI07	45.33333333	47.9966632	1.130041152	18.78457756	0	12.7733407	0.211984556	4.964433532	8.503084086	3.191937765	0.31116986	0.11260221	3.468474532	0.061017065	2699.089527
CL05MI08	50.33333333	47.70228371	0.970710131	17.5775318	0	12.4272346	0.219411659	6.441852393	8.357429613	2.698321488	0.26674177	0.111874593	2.079407941	0.06122616	2748.127714
CL05MI09	51	47.12036948	1.166951922	19.72455591	0	11.37569847	0.186167789	5.341715384	9.219735496	2.76689216	0.287057092	0.115152038	2.964324148	0.07140549	2706.494525
CL05MI10	53	47.54633754	0.822310947	18.0045789	0	8.34015206	0.157207023	7.553717877	11.24177141	2.278505458	0.328319511	0.126072625	3.082232971	0.056413769	2688.831788
CL06MI03	59	48.05668544	0.887600525	18.67521184	0	9.699776877	0.202094094	5.8426312	10.72460274	2.56877854	0.279299159	0.126210539	3.462312893	0.044010412	2675.114278
CV04MI01	39	49.19919448	1.001352249	19.00228513	0	5.719646991	0.125975101	6.091220885	12.72837913	3.078698884	0.295555493	0.165341719	3.303903651	0.125102327	2636.126166
CV04MI02	48.66666667	48.03635128	0.980954148	18.07226554	0	7.031669696	0.143749365	6.106197402	13.17797409	2.888055105	0.278596054	0.163460062	3.644868245	0.123215464	2656.919127
CV04MI03	47.33333333	48.51387938	1.010322217	18.10862159	0	6.870773249	0.123883803	5.736477239	12.95680407	3.079734172	0.362615415	0.162036533	3.923619078	0.161360526	2639.200854
CV04MI04	45.66666667	48.0017997	0.97190757	18.36712431	0	6.430011164	0.124183568	6.496088901	13.05572853	2.781492459	0.277648391	0.150426375	3.595334336	0.144306417	2651.388554
CV09EMI03	37.33333333	50.20407557	0.698032084	20.39769537	0	6.606663845	0.131183948	5.921793276	12.057986	2.461352012	0.238468114	0.129594986	2.884752919	0.035244679	2642.015926
SH63MI06	55.02213075	51.117	2.795	13.116	0	12.23509682	0.217	4.522	7.888	2.978	0.919	0.624	1.399052483	0.026849157	2748.980953
SH63MI18	31	52.56641333	2.399346667	12.37074667	0	12.96117667	0.281263333	3.9991	6.99957	3.145356667	1.054126667	0.885583333	1.894366637	0.056939757	2716.218268
SH63MI30	61.46035311	49.2719	2.2622	14.5405	0	12.4294	0.2691	5.1496	7.7438	3.4392	0.8752	0.8417	2.207273765	0.015788245	2737.168521
SH63MI42	28.7844643	47.8836	2.2478	14.37	0	13.3303	0.2766	3.9476	8.9034	3.0314	0.6424	0.5881	2.512038178	0.028314662	2748.487731
SH63MI48	64.66666667	50.32077848	2.540038182	13.35308477	0	13.71648112	0.280129545	4.071133788	7.694905909	3.316310152	1.052265303	0.913336515	1.245355861	0.005289302	2774.540298
SH63MI59	35.14913832	49.6775	2.0969	14.9902	0	11.1111	0.19425	4.87175	7.2668	3.84045	0.8385	0.6612	1.974193209	0.016531181	2710.309641
