Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1342.235,0.0,0.0,0.0,0.0
1344.1629999999998,0.0,0.0,0.0,0.0
1346.092,0.0,0.0,0.0,0.0
1348.021,0.0,0.0,0.0,0.0
1349.9489999999998,0.0,0.0,0.0,0.0
1351.8770000000002,0.0,0.0,0.0,0.0
1353.806,0.0,0.0,0.0,0.0
1355.734,0.0,0.0,0.0,0.0
1357.6629999999998,0.0,0.0,0.0,0.0
1359.5910000000001,0.0,0.0,0.0,0.0
1361.52,0.0,0.0,0.0,0.0
1363.4479999999999,0.0,0.0,0.0,0.0
1365.3770000000002,0.0,0.0,0.0,0.0
1367.305,0.0,0.0,0.0,0.0
1369.234,0.0,0.0,0.0,0.0
1371.162,0.0,0.0,0.0,0.0
1373.0910000000001,0.0,0.0,0.0,0.0
1375.019,0.0,0.0,0.0,0.0
1376.9479999999999,0.0,0.0,0.0,0.0
1378.876,0.0,0.0,0.0,0.0
1380.805,0.0,0.0,0.0,0.0
1382.733,0.0,0.0,0.0,0.0
1384.662,0.0,0.0,0.0,0.0
1386.59,0.0,0.0,0.0,0.0
1388.519,0.0,0.0,0.0,0.0
1390.4470000000001,0.0,0.0,0.0,0.0
1392.376,0.0,0.0,0.0,0.0
1394.3039999999999,0.0,0.0,0.0,0.0
1396.233,0.0,0.0,0.0,0.0
1398.161,0.0,0.0,0.0,0.0
1400.09,0.0,0.0,0.0,0.0
1402.0179999999998,0.0,0.0,0.0,0.0
1403.9470000000001,0.0,0.0,0.0,0.0
1405.875,0.0,0.0,0.0,0.0
1407.8039999999999,0.0,0.0,0.0,0.0
1409.7320000000002,0.0,0.0,0.0,0.0
1411.661,0.0,0.0,0.0,0.0
1413.589,0.0,0.0,0.0,0.0
1415.5179999999998,0.0,0.0,0.0,0.0
1417.4460000000001,0.0,0.0,0.0,0.0
1419.375,0.0,0.0,0.0,0.0
1421.3029999999999,0.0,0.0,0.0,0.0
1423.2320000000002,0.0,0.0,0.0,0.0
1425.16,0.0,0.0,0.0,0.0
1427.089,0.0,0.0,0.0,0.0
1429.017,0.0,0.0,0.0,0.0
1430.9460000000001,0.0,0.0,0.0,0.0
1432.874,0.0,0.0,0.0,0.0
1434.8029999999999,0.0,0.0,0.0,0.0
1436.731,0.0,0.0,0.0,0.0
1438.66,0.0,0.0,0.0,0.0
1440.588,0.0,0.0,0.0,0.0
1442.517,0.0,0.0,0.0,0.0
1444.445,0.0,0.0,0.0,0.0
1446.374,0.0,0.0,0.0,0.0
1448.3020000000001,0.0,0.0,0.0,0.0
1450.231,0.0,0.0,0.0,0.0
1452.1589999999999,0.0,0.0,0.0,0.0
1454.088,0.0,0.0,0.0,0.0
1456.016,0.0,0.0,0.0,0.0
1457.945,0.0,0.0,0.0,0.0
1459.8729999999998,0.0,0.0,0.0,0.0
1461.8020000000001,0.0,0.0,0.0,0.0
1463.73,0.0,0.0,0.0,0.0
1465.6589999999999,0.0,0.0,0.0,0.0
1467.5870000000002,0.0,0.0,0.0,0.0
1469.516,0.0,0.0,0.0,0.0
1471.444,0.0,0.0,0.0,0.0
1473.3729999999998,0.0,0.0,0.0,0.0
1475.3010000000002,0.0,0.0,0.0,0.0
1477.23,0.0,0.0,0.0,0.0
1479.158,0.0,0.0,0.0,0.0
1481.0870000000002,0.0,0.0,0.0,0.0
1483.015,0.0,0.0,0.0,0.0
1484.944,0.0,0.0,0.0,0.0
1486.872,0.0,0.0,0.0,0.0
1488.8010000000002,0.0,0.0,0.0,0.0
1490.729,0.0,0.0,0.0,0.0
1492.658,0.0,0.0,0.0,0.0
1494.586,0.0,0.0,0.0,0.0
1496.515,0.0,0.0,0.0,0.0
1498.443,0.0,0.0,0.0,0.0
1500.372,0.0,0.0,0.0,0.0
1502.3,0.0,0.0,0.0,0.0
1504.229,0.0,0.0,0.0,0.0
1506.1570000000002,0.0,0.0,0.0,0.0
1508.086,0.0,0.0,0.0,0.0
1510.014,-0.00025435129322722597,-0.0004190875163005984,-0.004656829400452419,-0.0038537929841605304
1511.943,-0.00020503260985262547,-0.00036951920274814375,-0.0019471647969393178,0.00194214955801035
1513.871,-0.00010202325637418853,-0.00025163437350279524,0.00022364832016705163,0.004420222987944448
1515.8,0.00012822243859766418,-2.519745026810966e-05,0.001723658140110538,0.004592711127406057
1517.7279999999998,0.0004320017338929106,0.0003089868178839161,0.0025003771856222153,0.0032486173594117617
1519.6570000000002,0.0007982038934234553,0.000721627343332678,0.0025653055688380118,0.0009834720072090255
1521.585,0.0009613806082641339,0.0008724790374657618,0.0019796640681818576,-0.001772706763558314
1523.514,0.0011294863051666336,0.0009382148646736792,0.000841337026214372,-0.004729298519497591
1525.442,0.001525849384879973,0.0012015171231949783,-0.0007269749315529546,-0.007710812610928005
1527.371,0.002006469178140155,0.0016097595391073216,-0.0025883923568780047,-0.010634466700154445
1529.299,0.002244503941117694,0.0017573661373796888,-0.0046012846180428155,-0.013489611766554195
1531.2279999999998,0.002424283914869514,0.0018809558533768517,-0.0066274877181427645,-0.016319003588477085
1533.156,0.0026412000664091458,0.002039886374076802,-0.008539312292410282,-0.01920192070195825
1535.085,0.002980015414465951,0.0022928878721980984,-0.010225341784573022,-0.02223912883624458
1537.013,0.0032027528577288247,0.002553902988825608,-0.0115950208022465,-0.025539691826133706
1538.942,0.003520480230921612,0.002956756553864362,-0.012582033651361256,-0.029209629001126423
1540.87,0.0039544862986651205,0.003451666700968999,-0.013146473049624362,-0.03334241905139174
1542.799,0.0045289322021150194,0.00405698390353456,-0.013275799038941154,-0.038011350427604285
1544.727,0.005361187570532082,0.004848804753952312,-0.012663936153889917,-0.042730245717974284
1546.656,0.005941436175048651,0.005400780335337324,-0.011709255002626352,-0.04834827809060539
1548.5839999999998,0.006347364577399028,0.005803599060924504,-0.010535686220096842,-0.05468371731846309
1550.513,0.00680651714612077,0.006341058755905294,-0.009341148978908934,-0.061561696087248714
1552.441,0.0073742642560728835,0.0069639315627428155,-0.008211644927504848,-0.06894599060228432
1554.37,0.007944118089114879,0.007572665668718608,-0.007152343432771237,-0.07692311266047477
1556.2979999999998,0.008355025139707803,0.00789522365987905,-0.006201400704065489,-0.08539421369541207
1558.227,0.008750912665512709,0.008417950766164644,-0.005423487819743179,-0.09393531722852333
1560.155,0.009420846753499386,0.009104550713618006,-0.00481577116491828,-0.10224048316654594
1562.0839999999998,0.01045622017858784,0.009911961096176388,-0.0042475516571169455,-0.11023587997862791
1564.0120000000002,0.011416420505483617,0.010711926542231616,-0.003617293919035802,-0.11779966179041963
1565.941,0.012475864944128175,0.011676675401207644,-0.002955641396314413,-0.12496406108700456
1567.869,0.013699617656748176,0.012826114780252204,-0.0023435242689048836,-0.1316732591311343
1569.7979999999998,0.01503358716963813,0.014153921081806782,-0.001845400588815162,-0.1378772466699443
1571.726,0.016480073342967215,0.015559336347203963,-0.0013007320817832,-0.14381718773517196
1573.655,0.017733321367178367,0.016745826632590548,-0.0008864325477865783,-0.14955517426359594
1575.5829999999999,0.019082277141436805,0.01812434091007225,-0.0007049052105397683,-0.1550668963416204
1577.5120000000002,0.020792717540882646,0.019738769966752952,-0.0007798017938836544,-0.16035199032915995
1579.44,0.022795462370502062,0.021539163776266072,-0.0010017929771022082,-0.16537247693537255
1581.369,0.024970888828626248,0.023618037695009936,-0.0012499297954421144,-0.1697930049010387
1583.297,0.027343597373976212,0.02587635841916018,-0.001477128173842035,-0.17334979235648415
1585.226,0.030014717469810534,0.028440167069364697,-0.0016398356353133983,-0.1761418120814826
1587.154,0.033086831695872676,0.03133824795786814,-0.001707992934741762,-0.17784396024884502
1589.0829999999999,0.0365297003920839,0.03451045335193234,-0.0016077089891390088,-0.17826298452637618
1591.011,0.040295487698509824,0.03793690026622433,-0.0011864191053734614,-0.1775913126769174
1592.94,0.044645589069913234,0.04191057354611553,-0.0001142216543951126,-0.17642550056380182
1594.868,0.04948111790849133,0.046306083936434754,0.0016013322973253558,-0.17503901435905497
1596.797,0.05488651019421949,0.0511881602723084,0.004023784518234957,-0.17335805016421313
1598.725,0.061010336818655996,0.05660672821229181,0.007391446729755929,-0.17157691793966642
1600.654,0.06799021868199567,0.06283598233153692,0.011752166165969594,-0.1696713771636123
1602.582,0.07563025444869603,0.0695713886248258,0.017515492977265946,-0.1675259649971312
1604.511,0.08367944692837131,0.07649909777694155,0.025062781911182906,-0.16519490727034353
1606.4389999999999,0.0928848949198592,0.08449526381398563,0.03462262105125851,-0.16241611283031088
1608.368,0.103124240606425,0.09356133156826853,0.04637257711732278,-0.1583365292443369
1610.296,0.11382115497195243,0.1027623670279101,0.060465580890276587,-0.15275493786067323
