Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02,,,,,,,
1303.665,0.477643416,1.216691335,1.094807172,0.618772543,0.722997415,1.770976258,0.969409487,0.472667934,0.368289221,1.322889739,0.637308484,0.534845629,0.714077087,0.309092492,0.339509057,0.714685789,0.489435416,0.499696643,0.736663642,0.655774736,0.600500513,0.854144735,0.894231493,0.846039996,0.734308859,0.436395995,0.418394692,0.691040003,0.749254751,0.696917323,,,,,,,
1305.594,0.468163176,1.197719821,1.07965482,0.608297155,0.709002988,1.748550369,0.957545417,0.465311628,0.360189905,1.302415902,0.627589573,0.525617731,0.704380995,0.30451214,0.33091026,0.705254547,0.48167842,0.49280191,0.728108427,0.646536229,0.591794564,0.841398494,0.881747614,0.832412895,0.721752563,0.430057217,0.410174106,0.680812794,0.738006613,0.685299792,,,,,,,
1307.522,0.459173409,1.180071624,1.06503889,0.598208571,0.695752398,1.726837747,0.946136237,0.458265616,0.352422941,1.282621347,0.61827244,0.516819192,0.694919191,0.300133993,0.322667275,0.696061125,0.474219903,0.48618693,0.719899175,0.637638703,0.583420021,0.829186413,0.869833642,0.819389521,0.709876782,0.423979489,0.402350014,0.671000692,0.727230621,0.674107786,,,,,,,
1309.45,0.450654008,1.163505251,1.050927857,0.588505139,0.683185468,1.705794198,0.93516991,0.451513422,0.344962822,1.263765906,0.609338928,0.508436258,0.685705495,0.295943914,0.314770147,0.687111362,0.467045469,0.479844268,0.712030697,0.629073884,0.575368283,0.817497181,0.858474487,0.80695681,0.698527162,0.418149434,0.39489939,0.661581118,0.716903762,0.663342325,,,,,,,
1311.379,0.44257407,1.147751013,1.037273417,0.579162071,0.671246474,1.685379253,0.924586512,0.445035917,0.337785849,1.245679663,0.600735951,0.500403839,0.67674157,0.29192158,0.307195684,0.67839105,0.460171772,0.473756543,0.704482101,0.620826196,0.567620268,0.806255205,0.847616064,0.795085088,0.687670554,0.412545881,0.387802863,0.652501589,0.706999461,0.652975074,,,,,,,
1313.307,0.434913777,1.132661432,1.024063095,0.570173336,0.659911907,1.665715115,0.914362281,0.438823389,0.330880523,1.228442909,0.592450482,0.492728469,0.667994655,0.288053747,0.299937002,0.669900502,0.453592258,0.467916372,0.697241763,0.61289138,0.56017047,0.795453934,0.837248031,0.783763614,0.677373375,0.40716049,0.381062353,0.643734688,0.697509693,0.643012462,,,,,,,
1315.236,0.427641334,1.118159229,1.011261752,0.561512996,0.649143231,1.646827953,0.904439961,0.432859506,0.324231882,1.21191811,0.584472061,0.485421101,0.659426188,0.284324978,0.292973138,0.661631495,0.447270968,0.462310229,0.690284221,0.60525126,0.553001982,0.785067586,0.827328127,0.772938413,0.667593819,0.401980398,0.374658652,0.635249088,0.688391222,0.63343584,,,,,,,
1317.164,0.420737523,1.104241448,0.998849257,0.553179213,0.638926094,1.628712337,0.894781013,0.427138221,0.317833438,1.195963555,0.576792974,0.478478931,0.651056738,0.280726102,0.286298072,0.653597247,0.441204203,0.456933533,0.683597243,0.597899995,0.546112685,0.7750939,0.817844518,0.762589026,0.658306344,0.397000911,0.36857923,0.627022597,0.679621691,0.624246551,,,,,,,
1319.093,0.414168961,1.090855063,0.986788283,0.545150606,0.629218539,1.611257266,0.885345226,0.421645845,0.311670444,1.18059582,0.569366854,0.471842727,0.642893091,0.277242936,0.279890932,0.645791637,0.435361184,0.451769283,0.677160729,0.59081279,0.539487734,0.765489345,0.808761744,0.752674165,0.649489549,0.392209059,0.362801084,0.619048366,0.671169979,0.615408522,,,,,,,
1321.021,0.407919237,1.077983859,0.975063345,0.537422403,0.620023899,1.594403967,0.876146604,0.416375351,0.305737579,1.166005265,0.562194801,0.465497234,0.634965162,0.273870637,0.273741931,0.638212662,0.429728826,0.446804812,0.670954196,0.583990068,0.533124019,0.756248188,0.800066888,0.743160851,0.641116353,0.387599415,0.357315003,0.611354574,0.66302634,0.606905811,,,,,,,
