Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1726.006,0.007399526898957121,0.009925581890903423,0.016928896283284645,0.01703032584870534,0.012113096437019022,0.05390133332127012,0.018147734433352936,0.010744520047763273,0.004377016108820048,0.009672790317561714,0.020852619994685462,0.015224224161605293,0.0030043558181023222,0.005186011628102727,0.017129461108505273,0.0029980101010172455,0.014777194243806024,0.004023723156994008,0.002395676294543514,0.007735218747746575,0.0025152055161339892,0.017635235729609566,0.007490959625437055,0.004129213569697421,0.006820607749113916,0.01009916052642168,0.0005687648166071146,0.003214715605513341,0.015707566049065036,0.006522548402990824,0.00329016551120348
1727.935,0.006504501384024641,0.008573338328323521,0.015008229969136977,0.016442424323115323,0.011640719277311917,0.05092047287539536,0.01715946949643779,0.010472956895080987,0.003941612221082275,0.009083880420070661,0.019371733613268494,0.014827554243069252,0.003190473069856259,0.004496191690459395,0.01583603059007893,0.0028657423510026203,0.013279253792180645,0.0037222356478247565,0.002053495242692438,0.007116901903472417,0.0015828293606525157,0.016419420872423207,0.006702630295448986,0.0034985510801314734,0.0057177287862097415,0.009737134541032866,0.00031646485989356155,0.0028736805631739415,0.014427161871728766,0.005478336509133874,0.002964412121524429
1729.8629999999998,0.005311197821936564,0.007334419233715472,0.013400138784964155,0.01596800647374752,0.011062543001643277,0.04820121986336634,0.016076865479814406,0.010302652164406512,0.0035914744837133306,0.008578280935720495,0.017773811644446802,0.014113786068126188,0.0033146469453969596,0.003962739315984121,0.01457594161484943,0.002709902299555589,0.011954843817577832,0.003426431586635581,0.0022258915397673773,0.006703349169804085,0.0006999181699872681,0.015381117622845497,0.006080100488853657,0.0029777545699616326,0.004651017210359931,0.009571838786534004,5.564187976575541e-05,0.002562817239293469,0.013319754905602166,0.004712797810420277,0.0027985234011758675
1731.7920000000001,0.0037489934953014448,0.006284137175823046,0.011720585633347214,0.015496215680994352,0.0102197410842505,0.045297034651868406,0.01485801282025595,0.010005220058681097,0.003210630035499623,0.008343875775941895,0.016088307351297737,0.013098292823174207,0.003285695902526198,0.0038262135349306226,0.013221251446282944,0.002579052504816798,0.010684344507575994,0.002983729722929096,0.0009634302793444238,0.006233619803136581,-0.0002386574566058952,0.014256936755336902,0.0055361857534579895,0.002416690309033076,0.003642854502138748,0.009403037284177906,-0.00036480457895271545,0.0022663269445660494,0.012394712369802219,0.003970337321086426,0.002853147201140438
1733.72,0.005174452804378005,0.005241981693316078,0.009746313894359204,0.014968449395338479,0.009292115539157486,0.04217080632497949,0.013533994959737006,0.009616372128856243,0.002768256024969551,0.008034161788320976,0.014501033221453796,0.012097165361205642,0.0032657446048331984,0.0036759232850896995,0.01194351406078259,0.002452625870520503,0.009432091393369979,0.002545277817363134,0.001895812424906329,0.005816731555442378,-0.0008883601666671015,0.013019084997579644,0.005096474143402863,0.0018806136611811963,0.002704868230988866,0.009334975734499595,-0.00074837551021395,0.0019213403292257791,0.011532468887535507,0.003193431365972277,0.0030587518535844516
1735.649,0.006414898670860092,0.004239019994917326,0.00801171488011665,0.014339839407273347,0.008518362214091524,0.039487367522658134,0.01215122234566643,0.009307397753775759,0.0023496937923087324,0.007436793727651547,0.013017221309300053,0.011152306835041204,0.003170352619201011,0.0035704807546272366,0.010854729697634291,0.0022835259458965362,0.008314723906031773,0.0020989532474490202,0.003080746010533819,0.0055434129829946555,-0.001334027348833644,0.011838700868413432,0.00471512248648176,0.0015473062598642673,0.0019223509069479783,0.009446140663367353,-0.0011198875545753162,0.0015296400680042954,0.01077369053266708,0.002607161490439991,0.003234921149801284
1737.5770000000002,0.0037927150482401917,0.0034301344365402775,0.006582419822551033,0.013801572701185205,0.007816310154781625,0.0373816628300927,0.010798774221316254,0.009028749239646028,0.0020108609699345803,0.00708460217762219,0.011784068826099503,0.010240143834643778,0.0030251446617330924,0.003554944048743236,0.009923544761092029,0.0021089007339609445,0.007374185035502467,0.0016111454572666495,0.0012725557933848664,0.005378478005132692,-0.0015094233311959138,0.010850393962649973,0.004499642969494733,0.0014351286135826369,0.0012694207802117496,0.009741332415408754,-0.0013985134240461217,0.0012166381593422815,0.010126046934786082,0.0022368167900675417,0.003429672936132
1739.506,0.0031356689041848185,0.0027127429988117457,0.005142321219817836,0.0131115740129078,0.007073985534727212,0.03555560052206652,0.00946739804097152,0.008674836849903445,0.0016372600010027827,0.006930337253408386,0.010510588621167438,0.009205312917928032,0.0027760238200681964,0.003497784626231959,0.009135351172878226,0.0018728144900623522,0.006392137387924934,0.0010689762232335975,0.0011787684492547412,0.0051417526242776845,-0.0015065820213818748,0.009756640371268777,0.004344714363233082,0.0013552322138981054,0.000683220029711773,0.009989244693391908,-0.001658003940996411,0.0009498587928879476,0.00938044365667201,0.0018518282242248607,0.0036184507786830578
1741.434,0.003582511402128452,0.002244772183937316,0.0037881906355069495,0.012189150726842679,0.006408035220311636,0.03385673584211557,0.008165094137577017,0.008420034012925237,0.0012550353813660375,0.00669986756201818,0.009374937459789456,0.008181887019818368,0.0024671407170938076,0.0034553052488446867,0.008595545332333976,0.001571434460137855,0.005495255501680063,0.000630536380852531,0.001321353538519976,0.0049246516350588965,-0.0013132650279888414,0.008749123834364658,0.004185712878037595,0.0013775945675956192,0.00031699763951048565,0.010350659545626972,-0.001924251095690499,0.0006184780977145921,0.008625659868299718,0.0015456805887317238,0.0037393223039404733
1743.3629999999998,0.0033541931099049793,0.002085147971555734,0.00264532878048529,0.011129465203238542,0.005906536566743392,0.03224713069905927,0.006823628622451394,0.00814492846755066,0.0008480978756162383,0.006243756555441904,0.008511489577381015,0.007328019002648012,0.0021032391816473983,0.0033058707831894463,0.00822048541399717,0.0012187626652221673,0.0047480625372917085,0.00028412688838352906,0.0009602444267824417,0.0047158217490596566,-0.000947086450071577,0.007814557555586576,0.003994609379621206,0.0015091024405890496,0.0001894832107045552,0.010770718256805645,-0.0021694740457288697,0.00022771901393789373,0.007887788092245607,0.0013786995069946517,0.003781066599426952
