Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
3781.786,0.1818741,0.3869929,0.17753005,0.161248833,0.239700333,0.527519033,0.3246653,0.058808423,-0.07365011,0.34086645,0.1481263,0.0544895,0.189127933,0.100553867,-0.030869579,0.178949433,0.07145526,0.1305687,0.3355032,0.0846516,0.221107367,0.24391205,0.299991667,0.169514,0.215275678,0.1264367,0.103614713,0.16533245,0.178357333,0.549655875
3783.714,0.1822131,0.386877175,0.1766532,0.161088933,0.240040567,0.526551267,0.324422767,0.05849924,-0.0740234,0.34117545,0.1478985,0.05464185,0.1894233,0.10048927,-0.031027051,0.178736833,0.07135031,0.130420233,0.3351009,0.08431062,0.221009867,0.24385105,0.299717767,0.1692121,0.2153992,0.1262841,0.103667787,0.16524755,0.1780403,0.549975925
3785.643,0.1823206,0.3867936,0.175856275,0.160957433,0.240279267,0.525524733,0.324237533,0.058111118,-0.074180267,0.341286,0.14754535,0.054617115,0.1889495,0.100426827,-0.031178075,0.1783852,0.07145615,0.130150933,0.3347531,0.08403861,0.220867067,0.2437182,0.2993855,0.168838767,0.215459922,0.126144267,0.10368032,0.165034,0.177552233,0.550176475
3787.571,0.1824679,0.386900775,0.1753428,0.160823267,0.240522367,0.524765867,0.324182267,0.057872953,-0.074448907,0.34076065,0.1471933,0.05450704,0.188534133,0.100280833,-0.031342616,0.178081667,0.071534005,0.1299733,0.3346929,0.083938717,0.2208131,0.2437122,0.299183733,0.168609433,0.215096278,0.1259683,0.103756517,0.16467605,0.177117633,0.55040575
3789.5,0.1824695,0.387217925,0.174661475,0.1607194,0.240944033,0.5239379,0.3239514,0.057635045,-0.074565987,0.3401253,0.14671545,0.05441198,0.1883523,0.10023693,-0.031451191,0.177679367,0.071471695,0.1297784,0.3344795,0.083608313,0.220626367,0.24346185,0.2989441,0.168246267,0.215511978,0.125962,0.103719133,0.1642278,0.176548333,0.550833375
3791.428,0.1823935,0.3874033,0.173964125,0.160638167,0.2414086,0.522948533,0.3235103,0.057227743,-0.074819913,0.3398983,0.1460451,0.05408909,0.188205467,0.10024207,-0.031538357,0.177105033,0.07137283,0.129521767,0.3342044,0.08309674,0.220307033,0.24316325,0.298509067,0.167732633,0.215271189,0.125944067,0.103646773,0.1636001,0.1759825,0.551335
3793.356,0.182399367,0.387499825,0.173441575,0.160567367,0.2418344,0.5220174,0.3231221,0.056914768,-0.07511527,0.33990345,0.14532955,0.05378228,0.1880576,0.100228487,-0.03160082,0.176465033,0.071322845,0.129246367,0.3340436,0.082689763,0.220009967,0.2430123,0.2981158,0.1673022,0.214552622,0.125938333,0.10360248,0.16319535,0.1755959,0.55182895
3795.285,0.182350733,0.387591125,0.1728935,0.160417567,0.242115933,0.5210471,0.3226307,0.056578435,-0.07521865,0.33967655,0.14466955,0.053552545,0.187521433,0.100267057,-0.031702752,0.1756904,0.07122572,0.128734367,0.33342685,0.082056323,0.2195562,0.24272675,0.297706433,0.166698233,0.2143263,0.126077067,0.103455547,0.16304675,0.175004633,0.552339925
3797.214,0.182344833,0.387772525,0.172349425,0.160283033,0.242291967,0.520138267,0.322165267,0.056189833,-0.075349627,0.33936295,0.1441593,0.05300618,0.187043533,0.100302587,-0.031792316,0.174996133,0.070976825,0.128320133,0.33285175,0.081440147,0.219121733,0.24253645,0.297387933,0.1660693,0.2145117,0.126171433,0.103401583,0.16294815,0.1744084,0.5527058
3799.142,0.182427633,0.388093525,0.171821625,0.160151467,0.2423938,0.519195233,0.321755733,0.05582977,-0.07556715,0.33903325,0.14368785,0.052539595,0.1865862,0.10030411,-0.031870621,0.174425067,0.070612215,0.128000833,0.3323855,0.08099406,0.218716633,0.24235675,0.2971759,0.165566333,0.214720167,0.1262105,0.10339412,0.16267945,0.173987067,0.553008375
3801.071,0.182675133,0.388357575,0.17126065,0.160032133,0.2423453,0.5183266,0.3215226,0.05550621,-0.075804853,0.33901565,0.14335775,0.05230834,0.186124833,0.10028441,-0.031974075,0.174025267,0.070349405,0.1278041,0.33200225,0.08072238,0.2184394,0.2421941,0.297053933,0.165244233,0.2150266,0.126156267,0.103331057,0.16237935,0.173772767,0.553378575
3802.999,0.1831588,0.388537325,0.170660725,0.159911033,0.2420148,0.517599567,0.321463167,0.05528078,-0.07618086,0.3389313,0.1431554,0.05188086,0.185982067,0.100168513,-0.032118037,0.173792733,0.07016801,0.127689967,0.3316166,0.080549353,0.218264067,0.24209865,0.296986267,0.1650717,0.215604389,0.125986967,0.10338879,0.16199945,0.173810067,0.553789
3804.927,0.183658133,0.38856345,0.16994065,0.159862133,0.2416981,0.516880833,0.3211941,0.055122425,-0.07642738,0.33864705,0.14305375,0.051566995,0.1858076,0.10008212,-0.032230747,0.1735672,0.070110955,0.127508767,0.33163665,0.080420203,0.2180512,0.242151,0.296864033,0.165011333,0.215427656,0.1258157,0.103496547,0.1616491,0.173762333,0.55419655
3806.856,0.184214233,0.388559675,0.169547175,0.159818367,0.241490467,0.5164651,0.320928567,0.055103158,-0.076512847,0.33854435,0.1430268,0.05139083,0.185943667,0.099970953,-0.032398242,0.173403,0.070186805,0.127370433,0.3317533,0.08021492,0.2179054,0.2423377,0.296800967,0.1650809,0.216263811,0.125586967,0.103681103,0.1612579,0.1737161,0.554632475
3808.785,0.1845887,0.38844035,0.1688761,0.159805367,0.241236267,0.515974767,0.320808533,0.054888155,-0.076213447,0.3385344,0.1427839,0.051769295,0.1864424,0.099851737,-0.032517911,0.173234067,0.07047207,0.127118667,0.33169215,0.080024687,0.217733767,0.2425661,0.296730667,0.165088133,0.216690111,0.125409467,0.103741643,0.1607888,0.173616633,0.55494935
3810.713,0.184696667,0.388375425,0.16792475,0.159848833,0.2410583,0.515067367,0.3204955,0.05456199,-0.075725973,0.3384044,0.1423986,0.05267269,0.186537733,0.099754533,-0.032576567,0.1729738,0.070951225,0.126677067,0.3316099,0.079934613,0.217418867,0.24247365,0.2966135,0.164955267,0.215812511,0.125275867,0.103686853,0.16044795,0.1732714,0.555284075
