Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1764.576,0.009046751088564292,-0.03400023855003712,0.07236304446088573,0.019509731266162
1766.505,0.008228083569505511,-0.031787417311537225,0.06586582650885701,0.02381671709442798
1768.433,0.007817494395036659,-0.029535942127878995,0.060122001570723976,0.02716500155566212
1770.362,0.006965948448977738,-0.027269860518210898,0.054724773030030524,0.02947184094999164
1772.29,0.0064843784737301895,-0.024997490986532964,0.0497210646317245,0.030736400214587886
1774.219,0.006077162197943462,-0.022728905164463034,0.045145589315209,0.03098088479244651
1776.147,0.005094337554867912,-0.020475786384001285,0.04102059128650318,0.03024980558454035
1778.076,0.004103183215607292,-0.018251259780513757,0.03735584289541377,0.028608841331489665
1780.004,0.0033469180696854344,-0.016069692534891808,0.03414889343535725,0.02614329738256184
1781.933,0.002670553832207878,-0.013946464254885771,0.03138556986584011,0.022956160851997975
1783.861,0.001836733166659049,-0.01189770749561507,0.02904072945758543,0.019165752162665167
1785.79,0.0010439811567303646,-0.009940018419252433,0.027079264360325456,0.014902972977045598
1787.718,0.00046094414083742,-0.008090137593884036,0.025457358093238083,0.010308150515541861
1789.647,-0.000422878767671592,-0.006364600931544673,0.024123993958035217,0.005527478262120258
1791.575,-0.00045092933013421313,-0.004779360765428023,0.02302271537472078,0.0007090530572814169
1793.504,-0.00040398688415657446,-0.0033493770662723493,0.022093638139986035,-0.004001491421652903
1795.432,-0.0007267748526207153,-0.002088178797921128,0.02127571460826412,-0.008465754792906025
1797.361,-0.0010196805793286007,-0.0010073954120595474,0.02050924979544695,-0.012557743715295028
1799.289,-0.0010373103034055405,-0.00011625848212522272,0.019738669405240453,-0.016169449245958215
1801.218,-0.0008726732511695095,0.0005789265236048474,0.018915539778186274,-0.019216827810730183
1803.146,-0.0005803612797855335,0.0010753383297528035,0.018001839763339633,-0.021646185787226727
1805.075,-0.0005756060498152213,0.0013742278024031357,0.016973484512581627,-0.02344096770055959
1807.003,-0.0008148081304453044,0.0014815357584899297,0.01582410119761192,-0.024628948031750947
1808.932,-0.000868112795264554,0.001408540636010161,0.014569056649575876,-0.025289826638809472
1810.86,-0.0006107496306744719,0.0011725360250599837,0.013249736921351174,-0.02556322779048046
1812.789,-0.0005253940273574646,0.0007975380596989129,0.011938078772501998,-0.025657102812680146
1814.717,-0.0006553850783590191,0.0003150226706340048,0.010741353076858223,-0.025856536347569334
1816.646,-0.0007445662483089963,-0.0002353073012660023,0.009807200152768605,-0.0265329562253252
1818.574,-0.0007735387082927732,-0.0008047251306356473,0.009328917016022342,-0.028153746948578015
1820.503,0.0,0.0,0.0,0.0
1822.431,0.0,0.0,0.0,0.0
1824.36,0.0,0.0,0.0,0.0
1826.288,0.0,0.0,0.0,0.0
1828.217,0.0,0.0,0.0,0.0
1830.145,0.0,0.0,0.0,0.0
1832.074,0.0,0.0,0.0,0.0
1834.002,0.0,0.0,0.0,0.0
1835.931,0.0,0.0,0.0,0.0
1837.859,0.0,0.0,0.0,0.0
1839.788,0.0,0.0,0.0,0.0
1841.716,0.0,0.0,0.0,0.0
1843.645,0.0,0.0,0.0,0.0
1845.573,0.0,0.0,0.0,0.0
1847.502,0.0,0.0,0.0,0.0
1849.43,0.0,0.0,0.0,0.0
1851.359,0.0,0.0,0.0,0.0
1853.287,0.0,0.0,0.0,0.0
1855.216,0.0,0.0,0.0,0.0
1857.144,0.0,0.0,0.0,0.0
1859.073,0.0,0.0,0.0,0.0
1861.001,0.0,0.0,0.0,0.0
1862.93,0.0,0.0,0.0,0.0
1864.858,0.0,0.0,0.0,0.0
1866.786,0.0,0.0,0.0,0.0
1868.715,0.0,0.0,0.0,0.0
1870.644,0.0,0.0,0.0,0.0
1872.572,0.0,0.0,0.0,0.0
1874.5,0.0,0.0,0.0,0.0
1876.429,0.0,0.0,0.0,0.0
1878.358,0.0,0.0,0.0,0.0
1880.286,0.0,0.0,0.0,0.0
1882.215,0.0,0.0,0.0,0.0
1884.143,0.0,0.0,0.0,0.0
1886.072,0.0,0.0,0.0,0.0
1888.0,0.0,0.0,0.0,0.0
1889.929,0.0,0.0,0.0,0.0
1891.857,0.0,0.0,0.0,0.0
1893.786,0.0,0.0,0.0,0.0
1895.714,0.0,0.0,0.0,0.0
1897.643,0.0,0.0,0.0,0.0
1899.571,0.0,0.0,0.0,0.0
1901.5,0.0,0.0,0.0,0.0
1903.428,0.0,0.0,0.0,0.0
1905.357,0.0,0.0,0.0,0.0
1907.285,0.0,0.0,0.0,0.0
1909.214,0.0,0.0,0.0,0.0
1911.142,0.0,0.0,0.0,0.0
1913.071,0.0,0.0,0.0,0.0
1914.999,0.0,0.0,0.0,0.0
1916.927,0.0,0.0,0.0,0.0
1918.856,0.0,0.0,0.0,0.0
1920.785,0.0,0.0,0.0,0.0
1922.713,0.0,0.0,0.0,0.0
1924.641,0.0,0.0,0.0,0.0
1926.57,0.0,0.0,0.0,0.0
1928.499,0.0,0.0,0.0,0.0
1930.427,0.0,0.0,0.0,0.0
1932.355,0.0,0.0,0.0,0.0
1934.284,0.0,0.0,0.0,0.0
1936.213,0.0,0.0,0.0,0.0
1938.141,0.0,0.0,0.0,0.0
1940.069,0.0,0.0,0.0,0.0
1941.998,0.0,0.0,0.0,0.0
1943.927,0.0,0.0,0.0,0.0
1945.855,0.0,0.0,0.0,0.0
1947.783,0.0,0.0,0.0,0.0
1949.712,0.0,0.0,0.0,0.0
1951.641,0.0,0.0,0.0,0.0
1953.569,0.0,0.0,0.0,0.0
1955.497,0.0,0.0,0.0,0.0
1957.426,0.0,0.0,0.0,0.0
1959.354,0.0,0.0,0.0,0.0
1961.283,0.0,0.0,0.0,0.0
1963.211,0.0,0.0,0.0,0.0
1965.14,0.0,0.0,0.0,0.0
1967.068,0.0,0.0,0.0,0.0
1968.997,0.0,0.0,0.0,0.0
1970.925,0.0,0.0,0.0,0.0
1972.854,0.0,0.0,0.0,0.0
1974.782,0.0,0.0,0.0,0.0
1976.711,0.0,0.0,0.0,0.0
1978.639,0.0,0.0,0.0,0.0
1980.568,0.0,0.0,0.0,0.0
1982.496,0.0,0.0,0.0,0.0
1984.425,0.0,0.0,0.0,0.0
1986.354,0.0,0.0,0.0,0.0
1988.282,0.0,0.0,0.0,0.0
1990.21,0.0,0.0,0.0,0.0
1992.139,0.0,0.0,0.0,0.0
1994.068,0.0,0.0,0.0,0.0
1995.996,0.0,0.0,0.0,0.0
1997.924,0.0,0.0,0.0,0.0
1999.853,0.0,0.0,0.0,0.0
2001.781,0.0,0.0,0.0,0.0
2003.71,0.0,0.0,0.0,0.0
2005.638,0.0,0.0,0.0,0.0
2007.567,0.0,0.0,0.0,0.0
2009.495,0.0,0.0,0.0,0.0
2011.424,0.0,0.0,0.0,0.0
2013.352,0.0,0.0,0.0,0.0
2015.281,0.0,0.0,0.0,0.0
2017.209,0.0,0.0,0.0,0.0
2019.138,0.0,0.0,0.0,0.0
2021.066,0.0,0.0,0.0,0.0
2022.995,0.0,0.0,0.0,0.0
2024.923,0.0,0.0,0.0,0.0
2026.852,0.0,0.0,0.0,0.0
2028.78,0.0,0.0,0.0,0.0
2030.709,0.0,0.0,0.0,0.0
2032.637,0.0,0.0,0.0,0.0
2034.566,0.0,0.0,0.0,0.0
2036.494,0.0,0.0,0.0,0.0
2038.423,0.0,0.0,0.0,0.0
2040.351,0.0,0.0,0.0,0.0
2042.28,0.0,0.0,0.0,0.0
2044.208,0.0,0.0,0.0,0.0
2046.137,0.0,0.0,0.0,0.0
2048.065,0.0,0.0,0.0,0.0
2049.994,0.0,0.0,0.0,0.0
2051.922,0.0,0.0,0.0,0.0
2053.851,0.0,0.0,0.0,0.0
2055.779,0.0,0.0,0.0,0.0
2057.708,0.0,0.0,0.0,0.0
2059.636,0.0,0.0,0.0,0.0
2061.565,0.0,0.0,0.0,0.0
2063.493,0.0,0.0,0.0,0.0
2065.422,0.0,0.0,0.0,0.0
2067.35,0.0,0.0,0.0,0.0
2069.279,0.0,0.0,0.0,0.0
2071.207,0.0,0.0,0.0,0.0
2073.136,0.0,0.0,0.0,0.0
2075.064,0.0,0.0,0.0,0.0
2076.993,0.0,0.0,0.0,0.0
2078.921,0.0,0.0,0.0,0.0
2080.85,0.0,0.0,0.0,0.0
2082.778,0.0,0.0,0.0,0.0
2084.707,0.0,0.0,0.0,0.0
2086.635,0.0,0.0,0.0,0.0
2088.564,0.0,0.0,0.0,0.0
2090.492,0.0,0.0,0.0,0.0
2092.421,0.0,0.0,0.0,0.0
2094.349,0.0,0.0,0.0,0.0
2096.278,0.0,0.0,0.0,0.0
2098.206,0.0,0.0,0.0,0.0
2100.135,0.0,0.0,0.0,0.0
2102.063,0.0,0.0,0.0,0.0
2103.992,0.0,0.0,0.0,0.0
2105.92,0.0,0.0,0.0,0.0
2107.849,0.0,0.0,0.0,0.0
2109.777,0.0,0.0,0.0,0.0
2111.706,0.0,0.0,0.0,0.0
2113.634,0.0,0.0,0.0,0.0
2115.563,0.0,0.0,0.0,0.0
2117.491,0.0,0.0,0.0,0.0
2119.42,0.0,0.0,0.0,0.0
2121.348,0.0,0.0,0.0,0.0
2123.277,0.0,0.0,0.0,0.0
2125.205,0.0,0.0,0.0,0.0
2127.134,0.0,0.0,0.0,0.0
2129.062,0.0,0.0,0.0,0.0
2130.991,0.0,0.0,0.0,0.0
2132.919,0.0,0.0,0.0,0.0
2134.848,0.0,0.0,0.0,0.0
2136.776,0.0,0.0,0.0,0.0
2138.705,0.0,0.0,0.0,0.0
2140.633,0.0,0.0,0.0,0.0
2142.562,0.0,0.0,0.0,0.0
2144.49,0.0,0.0,0.0,0.0
2146.419,0.0,0.0,0.0,0.0
2148.347,0.0,0.0,0.0,0.0
